ITEMNO,ITEMNAME,ITEMDESC,ITEMPRICE,RAIRTY
0,업화,<color=#FF8500>화상</color> 대미지가 2배 증가합니다.,152,0
1,관통의 날,플레이어가 직접 가하는 투사체형 공격이 적을 1회 관통합니다.,200,0
2,혈전,"최대 체력이 기본값으로 조정됩니다. 감소한 수치 1%당 대미지 2.5%를 얻습니다.<br><size=50%>최대 체력이 기본값 미만이라면 공격력을 변동시키지 않습니다.",102,0
3,너클,치명타 + <color=#00ff00ff>3%</color><br>대미지 + <color=#00ff00ff>3%</color><br>공격속도 - <color=#B90E0A>3%</color>,22,0
4,벨트,체력 + <color=#00ff00ff>6%</color> <br> 이동속도 - <color=#B90E0A>2%</color>,23,0
5,채찍,이동속도 + <color=#00ff00ff>7%</color><br>공격력 + <color=#00ff00ff>3%</color><br>공격속도 + <color=#00ff00ff>3%</color><br>체력 - <color=#B90E0A>5%</color>,30,0
6,계약서,대미지 + <color=#00ff00ff>4%</color><br>공격속도 + <color=#B90E0A>1%</color>,20,0
7,빨간 열매,일반 스킬 쿨타임 - <color=#00ff00ff>5% </color><br>치명타 - <color=#B90E0A>1%</color>,24,0
8,과도,대미지 : 30 <br>공격속도 : 0.8/초 <br>근거리,28,0
9,단궁,대미지 : 12 <br>공격속도 : 1/초 <br>원거리 <br>치명타 확률 : 40%,35,0
10,투척용 도끼,대미지 : 8 <br>공격속도 : 0.3/초 <br>원거리 <br>산탄(x8) <br>치명타 확률 : 20%,40,0
