ITEMNO,ITEMNAME,ITEMDESC,ITEMPRICE,RAIRTY
0,볼펜,대미지 + <color=#00ff00ff>5%</color><br>공격속도 + <color=#00ff00ff>3%</color><br>체력 - <color=#B90E0A>3%</color>,22,0
1,이쑤시개,공격속도 + <color=#00ff00ff>6%</color><br>대미지 - <color=#B90E0A>2%</color>,22,0
2,주머니,최대 탄약 + <color=#00ff00ff>5%</color><br>공격속도 +<color=#00ff00ff>2%</color><br>이동속도 - <color=#B90E0A>2%</color>,18,0
3,너클,치명타 + <color=#00ff00ff>3%</color><br>대미지 + <color=#00ff00ff>3%</color><br>공격속도 - <color=#B90E0A>3%</color>,22,0
4,벨트,체력 + <color=#00ff00ff>6%</color> <br> 이동속도 - <color=#B90E0A>2%</color>,23,0
5,채찍,이동속도 + <color=#00ff00ff>7%</color><br>공격력 + <color=#00ff00ff>3%</color><br>공격속도 + <color=#00ff00ff>3%</color><br>체력 - <color=#B90E0A>5%</color>,30,0
6,얼음 골렘,주변의 적을 자동 공격하는 골렘을 1개 설치합니다.<br>대미지 : 25<br>공격속도 : 1/초<br>치명타 확률 : 60%,35,0
7,빨간 열매,일반 스킬 쿨타임 - <color=#00ff00ff>5% </color><br>치명타 - <color=#B90E0A>1%</color>,24,0
8,장봉,대미지 : 13 x 3 <br>공격속도 : 0.8/초 <br>근거리,28,0
9,투척용 도끼,대미지 : 8 <br>공격속도 : 0.3/초 <br>원거리 <br>산탄(x8) <br>치명타 확률 : 20%,40,0
